#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 100  27
# Band-Index    1
   0.22002     -5.909657     -3.765389
   0.23224     -5.909790     -3.763849
   0.23224     -5.909790     -3.763849
   0.27675     -5.908983     -3.776666
   0.32126     -5.906960     -3.813664
   0.36576     -5.903781     -3.870905
   0.41027     -5.899934     -3.943019
   0.45478     -5.895624     -4.024268
   0.49929     -5.891388     -4.109574
   0.54379     -5.887745     -4.195566
   0.58830     -5.885151     -4.282413
   0.63281     -5.883818     -4.377468
   0.67731     -5.883936     -4.495223
   0.72182     -5.885310     -4.636724
   0.76633     -5.887669     -4.784030
   0.81084     -5.890822     -4.922945
   0.85534     -5.896114     -5.046567
   0.89985     -5.936725     -5.151335
   0.94436     -5.974383     -5.235017
   0.98887     -6.004781     -5.295966
   1.03337     -6.024559     -5.333016
   1.07788     -6.031397     -5.345445
   1.07788     -6.031397     -5.345445
   1.12182     -6.025381     -5.330265
   1.16577     -6.007604     -5.284897
   1.20971     -5.979051     -5.209888
   1.25366     -5.941910     -5.106137
   1.29760     -5.899989     -4.974879
   1.34154     -5.890782     -4.817682
   1.38549     -5.887760     -4.636868
   1.42943     -5.885304     -4.559472
   1.47338     -5.883856     -4.499691
   1.51732     -5.883790     -4.418260
   1.56127     -5.885080     -4.318337
   1.60521     -5.887685     -4.209366
   1.64915     -5.891333     -4.106720
   1.69310     -5.895492     -4.027305
   1.73704     -5.899847     -3.979125
   1.78099     -5.903752     -3.956895
   1.82493     -5.906896     -3.949818
   1.86887     -5.908874     -3.948976
   1.91282     -5.909563     -3.949238
   1.91282     -5.909563     -3.949238
   1.95733     -5.908894     -3.948592
   2.00183     -5.906896     -3.947979
   2.04634     -5.903791     -3.951885
   2.09085     -5.899828     -3.969347
   2.13535     -5.895590     -4.014484
   2.17986     -5.891327     -4.099809
   2.22437     -5.887642     -4.222199
   2.26888     -5.885057     -4.363751
   2.31338     -5.883853     -4.506725
   2.35789     -5.883975     -4.640165
   2.40240     -5.885290     -4.759101
   2.44690     -5.887655     -4.862934
   2.49141     -5.890713     -4.954284
   2.53592     -5.899867     -5.037493
   2.58043     -5.944151     -5.115485
   2.62493     -5.987761     -5.186226
   2.66944     -6.024366     -5.243278
   2.71395     -6.048569     -5.280145
   2.75846     -6.056999     -5.292847
   2.75846     -3.949238     -6.178136
   2.75846     -3.948164     -6.178136
   2.75846     -3.944961     -6.178136
   2.75846     -3.939685     -6.178136
   2.75846     -3.932426     -6.178136
   2.75846     -3.923314     -6.178136
   2.75846     -3.912518     -6.178136
   2.75846     -3.900241     -6.178136
   2.75846     -3.886737     -6.178136
   2.75846     -3.872291     -6.178136
   2.75846     -3.857233     -6.178136
   2.75846     -3.841934     -6.178136
   2.75846     -3.826809     -6.178136
   2.75846     -3.812314     -6.178136
   2.75846     -3.798906     -6.178136
   2.75846     -3.787072     -6.178136
   2.75846     -3.777279     -6.178136
   2.75846     -3.769937     -6.178136
   2.75846     -3.765389     -6.178136
   2.75846     -3.763849     -6.178136
 
# Band-Index    8
   2.75846     -2.752346     -6.178136
   2.75846     -2.749861     -6.178136
   2.75846     -2.742473     -6.178136
   2.75846     -2.730412     -6.178136
   2.75846     -2.714032     -6.178136
   2.75846     -2.693780     -6.178136
   2.75846     -2.670183     -6.178136
   2.75846     -2.643792     -6.178136
   2.75846     -2.615189     -6.178136
   2.75846     -2.584969     -6.178136
   2.75846     -2.553742     -6.178136
   2.75846     -2.522148     -6.178136
   2.75846     -2.490879     -6.178136
   2.75846     -2.460686     -6.178136
   2.75846     -2.432426     -6.178136
   2.75846     -2.407057     -6.178136
   2.75846     -2.385638     -6.178136
   2.75846     -2.369265     -6.178136
   2.75846     -2.358950     -6.178136
   2.75846     -2.355417     -6.178136
   2.75846     -5.904435     -5.050804
   2.71395     -5.903990     -5.040278
   2.66944     -5.902588     -5.008293
   2.62493     -5.900238     -4.953247
   2.58043     -5.897278     -4.871770
   2.53592     -5.894057     -4.760135
   2.49141     -5.863796     -4.617809
   2.44690     -5.847748     -4.448503
   2.40240     -5.843970     -4.258442
   2.35789     -5.843521     -4.055616
   2.31338     -5.844991     -3.849675
   2.26888     -5.848441     -3.651237
   2.22437     -5.853608     -3.477022
   2.17986     -5.860135     -3.345056
   2.13535     -5.871261     -3.215965
   2.09085     -5.883253     -3.049964
   2.04634     -5.893857     -2.850943
   2.00183     -5.902277     -2.639152
   1.95733     -5.907688     -2.447429
   1.91282     -5.909563     -2.355417
   1.91282     -5.909563     -2.355417
   1.86887     -5.907696     -2.448295
   1.82493     -5.902287     -2.646009
   1.78099     -5.893926     -2.864937
   1.73704     -5.883475     -3.071320
   1.69310     -5.871915     -3.251369
   1.64915     -5.862579     -3.409872
   1.60521     -5.855498     -3.573546
   1.56127     -5.849303     -3.767970
   1.51732     -5.844475     -3.988720
   1.47338     -5.841815     -4.215734
   1.42943     -5.841614     -4.434261
   1.38549     -5.844600     -4.602312
   1.34154     -5.860777     -4.652888
   1.29760     -5.894138     -4.740187
   1.25366     -5.897470     -4.845296
   1.20971     -5.900448     -4.940206
   1.16577     -5.902741     -5.012930
   1.12182     -5.904072     -5.058226
   1.07788     -5.904578     -5.073578
